customer_id,name,gender,age,city,account_type,join_date
C0001,Richard Wilson,M,65,Kimberlyburgh,Savings,2023-08-27
C0002,Holly Parker,F,41,Port David,Current,2023-12-08
C0003,Megan Alvarez,M,46,West Laurieton,Savings,2022-05-25
C0004,Nicholas Stewart,F,39,Amyville,Current,2020-11-30
C0005,Douglas Anderson,M,70,New Craigport,Current,2023-01-29
C0006,Christopher Burton,F,70,North Cody,Savings,2023-06-12
C0007,Jasmine Morris,M,69,Kristaborough,Savings,2023-10-09
C0008,Mark Cooper,F,30,Port Jenniferton,Current,2023-04-25
C0009,Christopher Smith,M,66,Port Nathan,Savings,2020-08-17
C0010,Connie Rodriguez,F,56,Banksburgh,Savings,2023-06-21
C0011,Carolyn Higgins,M,26,Kinghaven,Savings,2024-01-25
C0012,Ryan Ramos,F,18,Donnaton,Savings,2021-10-04
C0013,Alicia Cohen MD,F,45,West Williamview,Current,2022-09-16
C0014,Paul Garcia,M,35,Raymondtown,Savings,2021-01-09
C0015,Mr. Caleb Wagner,M,41,Terryside,Savings,2020-06-05
C0016,Kelly Jenkins,M,63,Zacharyport,Savings,2020-06-06
C0017,Jesus Davenport,F,26,South Randyshire,Current,2023-06-07
C0018,Scott Guerrero,M,65,Jaredland,Savings,2023-01-20
C0019,Anthony Jordan,M,43,Macdonaldborough,Savings,2024-02-03
C0020,Patricia Wagner,M,26,Randallshire,Savings,2024-05-03
C0021,William Jones,F,66,South Stephanie,Savings,2023-04-01
C0022,Christine Williams,F,40,Smithside,Savings,2021-11-17
C0023,Jennifer Hodges,M,56,New Jamesville,Savings,2023-02-11
C0024,Kevin Ross,F,70,Lake Keith,Current,2022-05-03
C0025,Chelsea Booth,F,18,South Jenniferberg,Savings,2021-01-12
C0026,Jacob Williams,M,57,New Nicholas,Current,2022-05-01
C0027,Elizabeth Robinson,M,50,Johnstad,Current,2022-08-16
C0028,Adam Jones,F,49,North Colleenstad,Savings,2023-07-19
C0029,Michael Baker,F,59,Smithmouth,Savings,2022-10-27
C0030,Linda Miller,M,66,Kaisermouth,Current,2020-07-19
C0031,David Miranda,F,53,West Steven,Current,2021-08-06
C0032,John Novak,F,36,Angelaport,Savings,2023-10-29
C0033,Jamie Campos,F,28,North Adam,Current,2021-02-16
C0034,Vanessa Reese,F,41,Antonioborough,Savings,2023-10-29
C0035,Todd Zamora,F,25,Deborahton,Current,2022-05-06
C0036,Samuel Johnson,F,65,Murillobury,Current,2021-12-16
C0037,Connor Holloway,M,35,North Stephanie,Savings,2022-01-16
C0038,Jennifer Jacobson,F,70,Heathermouth,Savings,2021-03-05
C0039,Gabriel Garner,M,44,West Adrianburgh,Savings,2022-12-27
C0040,Christopher Raymond,F,51,Port Kellystad,Current,2021-06-18
C0041,Suzanne Dixon,F,68,Alexfurt,Savings,2024-04-27
C0042,Kendra Hall,M,25,Lake Barbarashire,Savings,2021-01-09
C0043,Jordan Carlson,M,32,East Sarah,Current,2024-03-14
C0044,Robert Blevins,M,21,Port Natalie,Current,2021-11-10
C0045,Tracy Flores,M,65,Russellshire,Savings,2020-11-01
C0046,Virginia Ayala,M,50,Flynnville,Savings,2023-05-15
C0047,Kimberly Adams,F,64,Saundershaven,Savings,2023-02-07
C0048,Melissa Villanueva,M,60,Kirkside,Current,2022-02-23
C0049,Robert Carter,M,34,East Rachaelstad,Savings,2022-04-03
C0050,Howard Wheeler,M,29,Kimberlyfort,Savings,2024-02-07
C0051,George Yates,M,28,Heatherport,Current,2023-12-14
C0052,Lori Bautista,M,45,Juliabury,Savings,2023-04-02
C0053,Krystal Chaney,F,48,New Gregory,Current,2023-06-15
C0054,Julie Gibson,F,69,Williamsburgh,Current,2021-06-20
C0055,Timothy Odom,F,63,Kennethborough,Current,2020-07-26
C0056,Danny Russell,F,19,New Erika,Savings,2023-08-25
C0057,Christina Mason,F,22,Russellhaven,Current,2022-10-31
C0058,Mike Miller,F,31,East Adrienne,Savings,2022-07-18
C0059,Travis Gonzalez,M,58,Kimstad,Current,2020-09-05
C0060,Nicole Logan,F,34,North Kennethbury,Current,2023-03-05
C0061,Martin Adams,M,57,Shirleyland,Current,2021-04-22
C0062,Candice Le,F,53,West Scott,Current,2020-05-31
C0063,Michele Anderson,M,56,Williamschester,Current,2022-12-05
C0064,Michael Vaughn,M,25,Lake Amandatown,Savings,2021-08-31
C0065,Michele Murphy,F,20,Tiffanyton,Savings,2023-05-18
C0066,Stephen Berry,M,63,Simsmouth,Savings,2021-06-16
C0067,Ashley Becker,M,22,Phillipsbury,Current,2021-03-29
C0068,Lisa Gilbert,F,56,Glennberg,Current,2023-05-04
C0069,Paul Cook,M,21,Sanchezshire,Savings,2022-11-02
C0070,Christina Mendoza,F,54,Christopherport,Savings,2021-03-10
C0071,Melvin Thomas,M,65,East Richard,Savings,2021-01-10
C0072,Reginald Hodges,M,59,Port David,Savings,2023-05-12
C0073,Ana Cochran,M,19,Gordonmouth,Savings,2021-06-17
C0074,Joe Schultz,F,61,Jillhaven,Savings,2022-03-28
C0075,Sara Elliott,M,66,South Jenniferberg,Savings,2021-07-31
C0076,Rebecca Jones,F,32,East Jillland,Savings,2021-10-02
C0077,Audrey Peck,M,60,East Robin,Savings,2023-03-21
C0078,Jason Scott,M,46,Dianemouth,Savings,2023-12-08
C0079,Michael Ford,F,31,New Kyleberg,Savings,2023-12-25
C0080,Angela Warren,M,44,Sanchezmouth,Current,2021-02-06
C0081,Julie Farmer,M,67,Angelatown,Savings,2022-10-10
C0082,Kevin Tate,F,30,Port Gregory,Savings,2021-06-03
C0083,Jennifer Murphy,M,19,Lake Shannonchester,Savings,2021-06-05
C0084,Cynthia Patton,M,52,Thomasberg,Savings,2021-12-06
C0085,April Cooper,M,60,South Danielle,Current,2020-11-08
C0086,Dorothy Lowery,F,52,Port Sethshire,Current,2022-08-02
C0087,Pamela Harrison,F,48,North Dustinchester,Current,2023-04-26
C0088,Sherry Cole,M,55,South Benjamin,Savings,2022-06-15
C0089,John Smith,F,45,Fergusonview,Current,2024-03-29
C0090,Theresa Lewis,F,46,East Jenniferburgh,Current,2022-01-12
C0091,Michelle Zuniga,M,47,Sanchezport,Current,2022-02-02
C0092,Sabrina Villanueva,F,59,Lake Jordan,Current,2020-06-25
C0093,Ronnie Evans,M,64,Jacobmouth,Current,2022-12-07
C0094,George Wu,M,51,Randytown,Current,2023-11-29
C0095,Catherine Aguilar,F,22,Lake Thomaston,Current,2020-12-25
C0096,John Vincent,F,24,Jacksonside,Savings,2020-09-14
C0097,Victor Olsen,F,25,North Kevinfurt,Current,2020-11-02
C0098,Jeffrey Anderson,F,50,West Sherry,Current,2023-12-12
C0099,Nancy Coleman,M,47,South Elizabeth,Current,2021-10-26
C0100,Evan Duarte,M,67,East Christine,Savings,2023-10-12
C0101,Jason Ortiz,F,32,New Matthewtown,Current,2021-08-24
C0102,Crystal Mckenzie,M,40,Port Gina,Savings,2023-06-29
C0103,Stephanie Smith,F,36,Johnsonborough,Current,2023-12-08
C0104,Brittany Bailey,F,26,North Lisaland,Current,2023-03-20
C0105,Anna Davis,M,65,Port Scotttown,Savings,2023-09-16
C0106,Jessica Jacobson,F,36,Perezbury,Current,2024-02-06
C0107,Julie Weeks,F,65,East Elizabeth,Savings,2023-11-24
C0108,Jordan Johnson,M,68,Port Michael,Savings,2021-05-05
C0109,Michael Berry,F,65,North Teresa,Current,2020-08-14
C0110,Mrs. Shelby Arroyo,M,57,Allisonville,Current,2023-11-08
C0111,Lisa Russell,F,29,Jessicamouth,Current,2021-01-09
